Bag Group,Bag #,Quantity,Style,Ring Size,Location,Vendor Name/Description,Date Sent,Date Received,Days,Order #,Customer Name,Job #,Job Date,Due Date,Cancel Date,Job Quantity,Cust. P.O. #,Millimeters
10573295,105732950001,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950002,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950003,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/20/2022,22,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950004,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950005,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/22/2022,24,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950006,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950007,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950008,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950009,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950010,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950011,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950012,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950013,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950014,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950015,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950016,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950017,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/19/2022,21,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
10573295,105732950018,1,TEH22-6.0PD    ,6.0,FLINS,HUGO NARVAEZ                                      ,8/29/2022,9/20/2022,22,103784,Tiffany & Co. - PY       ,182652,7/25/2022,12/1/2022,12/1/2022,40,34242505,2.20
